Title,Author,Rating,Status
A Billion Wicked Thoughts: What the Internet Tells Us About Sexual Relationships,"Ogi Ogas, Sai Gaddam",,Want to Read
The Loom of Language: An Approach to the Mastery of Many Languages,"Lancelot Thomas Hogben, Frederick Bodmer",,Want to Read
"Kindle Paperwhite (16 GB) – Jetzt mit 6,8-Zoll-Display (17,3 cm) und verstellbarer Farbtemperatur – ohne Werbung - Schwarz (Vorherige Generation)",Amazon,,Want to Read
Sex and Culture (English Edition),Joseph Daniel Unwin,,Want to Read
"End Times: Elites, Counter-Elites and the Path of Political Disintegration (English Edition)",Peter Turchin,,Want to Read
"The Complete Book of the SR-71 Blackbird: The Illustrated Profile of Every Aircraft, Crew, and Breakthrough of the World's Fastest Stealth Jet (English Edition)","Richard H. Graham, Frank Stampf",,Want to Read
Pagan Imperialism (English Edition),"Julius Evola, James Kirkpatrick",,Want to Read
"Revolt Against the Modern World: Politics, Religion, and Social Order in the Kali Yuga (English Edition)",Julius Evola,,Want to Read
Sun and Steel,Yukio Mishima,,Want to Read
Men Among the Ruins: Post-War Reflections of a Radical Traditionalist,Julius Evola,,Want to Read
In Stahlgewittern,"Ernst Jünger, Helmuth Kiesel",,Want to Read
Janissaries (English Edition),Jerry Pournelle,,Want to Read
Chip War: The Fight for the World's Most Critical Technology (English Edition),Chris Miller,,Want to Read
Endurance: Shackleton's Incredible Voyage (English Edition),Alfred Lansing,,Want to Read
Eine Billion Dollar: Roman,Andreas Eschbach,,Want to Read
Der schlauste Mann der Welt: Roman,Andreas Eschbach,,Want to Read
Ringworld (English Edition),Larry Niven,,Want to Read
Blade Runner (English Edition),Philip K Dick,,Want to Read
"Analects by Confucius: Timeless Wisdom on Ethics, Family, and Harmony with Traditional Commentaries (Grapevine Edition) (English Edition)",Confucius,,Want to Read
The Beginning of Infinity: Explanations that Transform The World (English Edition),David Deutsch,,Want to Read
Der Mythos des Sisyphos,"Albert Camus, Lotte Richter",,Want to Read
Moby Dick (English Edition),Herman Melville,,Want to Read
Project Hail Mary: From the Sunday Times bestselling author of The Martian - Soon to be a major motion picture,Andy Weir,,Want to Read
Immune: A Journey into the Mysterious System That Keeps You Alive - from YouTube's KURZGESAGT IN A NUTSHELL,Philipp Dettmer,,Want to Read
Engineering in Plain Sight: An Illustrated Field Guide to the Constructed Environment,Grady Hillhouse,,Want to Read
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,"Peter D. Kaufman, Charles T. Munger",,Want to Read
The Art of Doing Science and Engineering: Learning to Learn (English Edition),"Richard W. Hamming, Bret Victor",,Want to Read
House of Huawei: The Secret History of China's Most Powerful Company (English Edition),Eva Dou,,Want to Read
Brave New World (English Edition),Aldous Huxley,,Want to Read
The Man from the Future: The Visionary Life of John von Neumann (English Edition),Ananyo Bhattacharya,,Want to Read
Sam Walton: Made In America (English Edition),"Sam Walton, John Huey",,Want to Read
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition (J-B Lencioni Series Book 43) (English Edition)",Patrick M. Lencioni,,Want to Read
"Zero to One: Notes on Start Ups, or How to Build the Future (English Edition)","Blake Masters, Peter Thiel",,Want to Read
"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains – A Neuroscience Framework for Understanding Future Machines (English Edition)",Max S. Bennett,,Want to Read
The 12th Planet (Book I) (Earth Chronicles 1) (English Edition),Zecharia Sitchin,,Want to Read
Infinite Jest (English Edition),David Foster Wallace,,Want to Read
Thus Spake Zarathustra (English Edition),Friedrich Nietzsche,,Want to Read
The Count of Monte Cristo (English Edition),Alexandre Dumas,,Want to Read
Paradise Lost (Penguin Classics),"John Leonard, John Milton",,Want to Read
Hard Drive: Bill Gates and the Making of the Microsoft Empire,"James Wallace, Jim Erickson",,Want to Read
